n  v(n)  Re(T)  Im(T)  Mod(T) 
584  0  15.954323  35.551613  38.967392  
585  0  -78.79675  21.3917  81.64884  
586  126  45.3265  -35.797844  57.75792  
587  125  -127.96736  120.80811  175.98366  
588  119  79.42579  55.550377  96.9242  
589  125  -7.786044  -26.804245  27.912184  
590  117  -213.06801  0.28123474  213.06819  
591  0  17.657581  71.06112  73.22208  
592  0  -33.637405  237.25302  239.62569  
593  0  87.764694  -175.7554  196.45  
594  0  -208.93365  137.18658  249.94685  
595  0  -39.684834  -86.21276  94.90799  
596  138  -98.76804  30.741257  103.44153  
597  128  -66.235596  -66.958755  94.18401  
598  132  -39.08597  -66.53874  77.1694  
599  124  29.213825  6.182167  29.86079  
600  126  -15.139125  52.740746  54.870567  
601  0  54.71555  98.27899  112.48356  
602  0  -100.352745  -21.590912  102.64912  
603  0  -52.779984  -139.54962  149.19727  
604  0  19.590696  -52.590622  56.12102  
605  0  -129.9941  -84.75959  155.18587  
606  126  -74.47065  62.084496  96.95547  
607  128  -96.58127  64.963875  116.396935  
608  114  -21.438896  -105.004135  107.170395  
609  125  -44.75962  -94.91739  104.941574  
610  110  -107.27397  36.075813  113.177605  
611  0  62.558594  -153.74893  165.98889  
612  0  135.39009  -113.639915  176.76115  
613  0  -91.397804  -137.88052  165.42249  
614  0  152.23389  -3.88723  152.28351  
615  0  25.550694  -19.51535  32.151  
616  127  -142.65091  -11.234779  143.09264  
617  132  -68.83938  23.28646  72.67131  
618  131  -6.4824333  162.82172  162.95071  
619  132  149.17639  88.823616  173.61806  
620  131  27.587442  88.77865  92.96621  
621  0  -48.795296  32.642044  58.70676  
622  0  40.78224  -95.02048  103.40253  
623  0  49.298782  80.43025  94.33661  
624  0  101.7388  160.81647  190.2964  
625  0  183.85835  186.73746  262.05872  
626  127  -80.4361  72.47906  108.273636  
627  127  -95.512085  -17.626762  97.12498  
628  137  -108.45831  41.516563  116.13282  
629  125  71.96178  31.31916  78.48176  
630  122  -12.808008  33.183754  35.56974  
631  0  120.17456  96.297935  153.99745  
632  0  -55.29882  7.1706467  55.761795  
633  0  -16.357773  0.1740799  16.358698  
634  0  -107.627144  4.515854  107.72184  
635  0  -24.96133  -6.601364  25.819489  
636  124  -111.75651  46.599174  121.08262  
637  132  4.666397  -1.2166672  4.8223996  
638  116  92.58064  -141.11795  168.77634  
639  119  19.9598  -131.2598  132.7687  
640  129  -93.78134  -45.288696  104.14416  
641  0  -62.364212  -185.69083  195.88358  
642  0  85.312515  -77.46536  115.23501  
643  0  90.658966  -59.093285  108.217674  
644  0  -38.113262  -154.2078  158.84793  
645  0  -20.075397  -42.360397  46.876698  
646  135  -195.8921  90.86113  215.93857  
647  125  53.486683  5.6314697  53.782326  
648  132  48.512146  140.3701  148.51665  
649  128  -19.40915  -171.37216  172.46777  
