x-axis,1,2
second,Volt,Volt
-3.8000E+00,+375.6E-03,+131.1E-03
-3.7900E+00,-26.4E-03,-63.9E-03
-3.7800E+00,+174.6E-03,-299.1E-03
-3.7700E+00,+114.3E-03,+221.5E-03
-3.7600E+00,+375.6E-03,-327.2E-03
-3.7500E+00,+295.2E-03,+70.8E-03
-3.7400E+00,+214.8E-03,+356.2E-03
-3.7300E+00,+13.8E-03,+320.0E-03
-3.7200E+00,+134.4E-03,+372.3E-03
-3.7100E+00,-46.5E-03,+109.0E-03
-3.7000E+00,-26.4E-03,+159.2E-03
-3.6900E+00,-6.3E-03,+104.9E-03
-3.6800E+00,-428.4E-03,-118.2E-03
-3.6700E+00,-247.5E-03,-514.2E-03
-3.6600E+00,-187.2E-03,-190.5E-03
-3.6500E+00,-307.8E-03,+400E-06
-3.6400E+00,-348.0E-03,-327.2E-03
-3.6300E+00,-348.0E-03,-572.4E-03
-3.6200E+00,-388.2E-03,-339.3E-03
-3.6100E+00,-307.8E-03,-476.0E-03
-3.6000E+00,-187.2E-03,-407.6E-03
-3.5900E+00,+154.5E-03,+400E-06
-3.5800E+00,-66.6E-03,-210.6E-03
-3.5700E+00,-287.7E-03,-407.6E-03
-3.5600E+00,-106.8E-03,-399.6E-03
-3.5500E+00,+154.5E-03,+137.1E-03
-3.5400E+00,+375.6E-03,-218.7E-03
-3.5300E+00,+255.0E-03,+84.8E-03
-3.5200E+00,+375.6E-03,+404.4E-03
-3.5100E+00,+234.9E-03,+60.7E-03
-3.5000E+00,+13.8E-03,+50.7E-03
-3.4900E+00,+154.5E-03,+287.9E-03
-3.4800E+00,+214.8E-03,+388.4E-03
-3.4700E+00,-46.5E-03,-51.8E-03
-3.4600E+00,-227.4E-03,-142.3E-03
-3.4500E+00,-26.4E-03,+109.0E-03
-3.4400E+00,-508.8E-03,-367.4E-03
-3.4300E+00,-327.9E-03,-375.5E-03
-3.4200E+00,-187.2E-03,-544.3E-03
-3.4100E+00,-408.3E-03,-343.3E-03
-3.4000E+00,-508.8E-03,-656.9E-03
-3.3900E+00,+54.0E-03,-697.1E-03
-3.3800E+00,-267.6E-03,-359.4E-03
-3.3700E+00,-106.8E-03,-508.1E-03
-3.3600E+00,+214.8E-03,-640.8E-03
-3.3500E+00,+335.4E-03,+18.5E-03
-3.3400E+00,+214.8E-03,-122.2E-03
-3.3300E+00,+194.7E-03,-349.3E-03
-3.3200E+00,+214.8E-03,+428.6E-03
-3.3100E+00,+335.4E-03,+169.3E-03
-3.3000E+00,+134.4E-03,+211.5E-03
-3.2900E+00,+174.6E-03,+384.3E-03
-3.2800E+00,+54.0E-03,+324.0E-03
-3.2700E+00,-267.6E-03,+338.1E-03
-3.2600E+00,+54.0E-03,+18.5E-03
-3.2500E+00,+94.2E-03,-146.3E-03
-3.2400E+00,-428.4E-03,+235.6E-03
-3.2300E+00,-368.1E-03,-92.0E-03
-3.2200E+00,-147.0E-03,-13.7E-03
-3.2100E+00,-147.0E-03,-592.6E-03
-3.2000E+00,-348.0E-03,-849.8E-03
-3.1900E+00,-207.3E-03,-520.2E-03
-3.1800E+00,-348.0E-03,-705.1E-03
-3.1700E+00,-307.8E-03,-811.6E-03
-3.1600E+00,-508.8E-03,-761.4E-03
-3.1500E+00,-26.4E-03,-351.3E-03
-3.1400E+00,-26.4E-03,-190.5E-03
-3.1300E+00,+154.5E-03,-492.0E-03
-3.1200E+00,+456.0E-03,-713.2E-03
-3.1100E+00,+134.4E-03,+191.4E-03
-3.1000E+00,+295.2E-03,-114.2E-03
-3.0900E+00,+134.4E-03,+88.9E-03
-3.0800E+00,+375.6E-03,+533.1E-03
-3.0700E+00,+114.3E-03,+131.1E-03
-3.0600E+00,+174.6E-03,-98.1E-03
-3.0500E+00,+154.5E-03,+22.5E-03
-3.0400E+00,-26.4E-03,+509.0E-03
-3.0300E+00,-207.3E-03,+215.5E-03
-3.0200E+00,-227.4E-03,+22.5E-03
-3.0100E+00,+13.8E-03,-198.6E-03
-3.0000E+00,-106.8E-03,+243.6E-03
-2.9900E+00,-428.4E-03,-534.3E-03
-2.9800E+00,-267.6E-03,-439.8E-03
-2.9700E+00,-227.4E-03,-835.8E-03
-2.9600E+00,-348.0E-03,-833.8E-03
-2.9500E+00,-508.8E-03,-488.0E-03
-2.9400E+00,-26.4E-03,-291.0E-03
-2.9300E+00,-267.6E-03,-536.3E-03
-2.9200E+00,-26.4E-03,-865.9E-03
-2.9100E+00,+74.1E-03,-90.0E-03
-2.9000E+00,-66.6E-03,-174.5E-03
-2.8900E+00,-26.4E-03,+28.6E-03
-2.8800E+00,+456.0E-03,-351.3E-03
-2.8700E+00,+234.9E-03,+237.6E-03
-2.8600E+00,+295.2E-03,+187.3E-03
-2.8500E+00,+174.6E-03,+297.9E-03
-2.8400E+00,-187.2E-03,+356.2E-03
-2.8300E+00,-66.6E-03,+404.4E-03
-2.8200E+00,+13.8E-03,+42.6E-03
-2.8100E+00,-207.3E-03,+211.5E-03
-2.8000E+00,-26.4E-03,+308.0E-03
-2.7900E+00,-227.4E-03,-377.5E-03
-2.7800E+00,-106.8E-03,-158.4E-03
-2.7700E+00,-287.7E-03,+40.6E-03
-2.7600E+00,-428.4E-03,-849.8E-03
-2.7500E+00,-187.2E-03,-705.1E-03
-2.7400E+00,-66.6E-03,-660.9E-03
-2.7300E+00,-408.3E-03,-590.5E-03
-2.7200E+00,-348.0E-03,-697.1E-03
-2.7100E+00,-26.4E-03,+141.1E-03
-2.7000E+00,+13.8E-03,-415.7E-03
-2.6900E+00,-327.9E-03,-628.7E-03
-2.6800E+00,+375.6E-03,-158.4E-03
-2.6700E+00,+214.8E-03,+106.9E-03
-2.6600E+00,+13.8E-03,+203.4E-03
-2.6500E+00,+375.6E-03,+585.3E-03
-2.6400E+00,+456.0E-03,+613.5E-03
-2.6300E+00,+74.1E-03,+442.6E-03
-2.6200E+00,+13.8E-03,+163.2E-03
-2.6100E+00,+174.6E-03,+273.8E-03
-2.6000E+00,+214.8E-03,+637.6E-03
-2.5900E+00,-247.5E-03,-65.9E-03
-2.5800E+00,+54.0E-03,-9.6E-03
-2.5700E+00,+54.0E-03,+149.2E-03
-2.5600E+00,+54.0E-03,+179.3E-03
-2.5500E+00,-147.0E-03,-568.4E-03
-2.5400E+00,-307.8E-03,-359.4E-03
-2.5300E+00,-327.9E-03,-896.1E-03
-2.5200E+00,-348.0E-03,-954.4E-03
-2.5100E+00,-368.1E-03,-586.5E-03
-2.5000E+00,-267.6E-03,+22.5E-03
-2.4900E+00,-267.6E-03,-552.3E-03
-2.4800E+00,-508.8E-03,-431.7E-03
-2.4700E+00,-167.1E-03,-172.4E-03
-2.4600E+00,+13.8E-03,-33.8E-03
-2.4500E+00,+174.6E-03,+279.8E-03
-2.4400E+00,+295.2E-03,+621.5E-03
-2.4300E+00,+134.4E-03,+215.5E-03
-2.4200E+00,+174.6E-03,-57.9E-03
-2.4100E+00,+54.0E-03,+663.7E-03
-2.4000E+00,+54.0E-03,+685.8E-03
-2.3900E+00,+255.0E-03,+438.6E-03
-2.3800E+00,-106.8E-03,+195.4E-03
-2.3700E+00,+154.5E-03,+390.4E-03
-2.3600E+00,-267.6E-03,-158.4E-03
-2.3500E+00,-6.3E-03,-349.3E-03
-2.3400E+00,-227.4E-03,-166.4E-03
-2.3300E+00,-388.2E-03,-709.1E-03
-2.3200E+00,-106.8E-03,-978.5E-03
-2.3100E+00,-327.9E-03,-480.0E-03
-2.3000E+00,-428.4E-03,-443.8E-03
-2.2900E+00,-267.6E-03,-745.3E-03
-2.2800E+00,-106.8E-03,-986.5E-03
-2.2700E+00,-86.7E-03,-687.0E-03
-2.2600E+00,-147.0E-03,-890.0E-03
-2.2500E+00,-307.8E-03,-576.5E-03
-2.2400E+00,-187.2E-03,+275.8E-03
-2.2300E+00,-147.0E-03,-21.7E-03
-2.2200E+00,+13.8E-03,+38.6E-03
-2.2100E+00,+194.7E-03,+575.3E-03
-2.2000E+00,+456.0E-03,+718.0E-03
-2.1900E+00,+255.0E-03,+496.9E-03
-2.1800E+00,+134.4E-03,+287.9E-03
-2.1700E+00,+214.8E-03,+659.7E-03
-2.1600E+00,+375.6E-03,+356.2E-03
-2.1500E+00,+54.0E-03,-371.4E-03
-2.1400E+00,+54.0E-03,+82.8E-03
-2.1300E+00,+255.0E-03,+185.3E-03
-2.1200E+00,-508.8E-03,+484.8E-03
-2.1100E+00,-267.6E-03,-480.0E-03
-2.1000E+00,-106.8E-03,-375.5E-03
-2.0900E+00,-468.6E-03,-482.0E-03
-2.0800E+00,-428.4E-03,-1.0267E+00
-2.0700E+00,-569.1E-03,-729.2E-03
-2.0600E+00,-106.8E-03,-978.5E-03
-2.0500E+00,-247.5E-03,-952.3E-03
-2.0400E+00,-348.0E-03,-463.9E-03
-2.0300E+00,+94.2E-03,-835.8E-03
-2.0200E+00,-26.4E-03,-53.9E-03
-2.0100E+00,-227.4E-03,-246.8E-03
-2.0000E+00,-106.8E-03,+468.8E-03
-1.9900E+00,+154.5E-03,+62.7E-03
-1.9800E+00,+174.6E-03,+509.0E-03
-1.9700E+00,+114.3E-03,+388.4E-03
-1.9600E+00,+456.0E-03,+605.4E-03
-1.9500E+00,+194.7E-03,+452.7E-03
-1.9400E+00,+94.2E-03,+432.6E-03
-1.9300E+00,+275.1E-03,+80.8E-03
-1.9200E+00,-348.0E-03,+412.5E-03
-1.9100E+00,-106.8E-03,-518.2E-03
-1.9000E+00,-66.6E-03,+86.8E-03
-1.8900E+00,-26.4E-03,+90.9E-03
-1.8800E+00,-428.4E-03,-431.7E-03
-1.8700E+00,-448.5E-03,-518.2E-03
-1.8600E+00,-388.2E-03,-773.5E-03
-1.8500E+00,-488.7E-03,-1.0026E+00
-1.8400E+00,-267.6E-03,-809.6E-03
-1.8300E+00,-267.6E-03,-57.9E-03
-1.8200E+00,-26.4E-03,-644.8E-03
-1.8100E+00,-287.7E-03,-445.8E-03
-1.8000E+00,-508.8E-03,-640.8E-03
-1.7900E+00,-287.7E-03,-78.0E-03
-1.7800E+00,+54.0E-03,+42.6E-03
-1.7700E+00,+335.4E-03,-180.5E-03
-1.7600E+00,+375.6E-03,+581.3E-03
-1.7500E+00,+194.7E-03,+509.0E-03
-1.7400E+00,+255.0E-03,+18.5E-03
-1.7300E+00,+295.2E-03,+356.2E-03
-1.7200E+00,+375.6E-03,+758.2E-03
-1.7100E+00,+255.0E-03,+223.5E-03
-1.7000E+00,+174.6E-03,+267.8E-03
-1.6900E+00,+214.8E-03,+167.2E-03
-1.6800E+00,+54.0E-03,-673.0E-03
-1.6700E+00,+74.1E-03,+137.1E-03
-1.6600E+00,-66.6E-03,-753.4E-03
-1.6500E+00,-207.3E-03,-602.6E-03
